id,src,tags,svgPath,composition,startTime,endTime,setPath
,"/Clips/Bach Mov 1 v2_[FL, 3L, T, MR]_[1,41,521]_[1,43,76] [2021-09-24 222333].wav","FL, 3L, T, MR","M0, 14C4.781333333333333,19.333333333333332 19.125333333333334,43.666666666666664 28.688000000000002,46C38.25066666666667,48.333333333333336 43.032000000000004,28.333333333333332 57.376000000000005,28C71.72000000000001,27.666666666666668 100.40800000000002,45 114.75200000000001,44C129.096,43 133.87733333333335,23.833333333333332 143.44,22C153.00266666666664,20.166666666666668 157.78400000000002,31.5 172.128,33C186.47199999999998,34.5 215.16,32.5 229.50400000000002,31C243.84800000000004,29.5 253.41066666666666,33.166666666666664 258.192,24C262.97333333333336,14.833333333333334 267.75466666666665,-14.333333333333334 258.192,-24C248.62933333333334,-33.666666666666664 215.15999999999997,-32.5 200.81599999999997,-34C186.47199999999995,-35.5 181.69066666666666,-35 172.128,-33C162.56533333333334,-31 153.00266666666667,-20.166666666666668 143.44,-22C133.87733333333333,-23.833333333333332 129.096,-43 114.75200000000001,-44C100.40800000000002,-45 71.72000000000001,-27.666666666666668 57.376000000000005,-28C43.032000000000004,-28.333333333333332 38.25066666666667,-48.333333333333336 28.688000000000002,-46C19.125333333333334,-43.666666666666664 4.781333333333333,-24 0,-14C-4.781333333333333,-4 0,14 0,14C0,18.666666666666668 0,14 0,14",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[LT, MR, T]_[1,29,224]_[1,30,224} [2021-09-24 222333].wav","LT, MR, T","M0, 17C11.015999999999998,18.166666666666668 44.063999999999986,24.833333333333332 66.09599999999999,24C88.12799999999999,23.166666666666668 110.15999999999997,14.166666666666666 132.19199999999998,12C154.22399999999996,9.833333333333334 187.27200000000002,14.833333333333334 198.288,11C209.304,7.166666666666667 209.304,-7.166666666666667 198.288,-11C187.27200000000002,-14.833333333333334 154.22399999999996,-9.833333333333334 132.19199999999998,-12C110.15999999999997,-14.166666666666666 88.12799999999999,-23.166666666666668 66.09599999999999,-24C44.063999999999986,-24.833333333333332 11.015999999999998,-23.833333333333332 0,-17C-11.015999999999998,-10.166666666666666 0,17 0,17C0,22.666666666666668 0,17 0,17",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[LT, MR]_[0,11,474]_[0,12,771] [2021-09-24 222156].wav","LT, MR","M0, 15C12.792,15.666666666666666 55.431999999999995,16 76.752,19C98.07199999999999,22 115.12799999999999,33.5 127.91999999999999,33C140.71200000000002,32.5 136.448,19.666666666666668 153.504,16C170.55999999999997,12.333333333333334 217.46399999999994,15.5 230.25599999999997,11C243.048,6.5 243.048,-6.5 230.25599999999997,-11C217.46399999999994,-15.5 170.55999999999997,-12.333333333333334 153.504,-16C136.44799999999998,-19.666666666666668 140.71200000000002,-32.5 127.91999999999999,-33C115.12799999999999,-33.5 98.07199999999999,-22 76.752,-19C55.431999999999995,-16 12.792,-20.666666666666668 0,-15C-12.792,-9.333333333333334 0,15 0,15C0,20 0,15 0,15",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[T, 3L, R, MR]_[0,55,506]_[0,58,959] [2021-09-24 222332].wav","T, 3L, R, MR","M0, 11C8.573333333333332,12.5 34.29333333333333,19.833333333333332 51.44,20C68.58666666666666,20.166666666666668 85.73333333333335,11.166666666666666 102.88,12C120.02666666666664,12.833333333333334 128.6,24.833333333333332 154.32,25C180.04,25.166666666666668 231.47999999999993,13.333333333333334 257.2,13C282.92,12.666666666666666 274.34666666666664,23.166666666666668 308.64,23C342.93333333333334,22.833333333333332 437.23999999999995,17.833333333333332 462.96,12C488.68,6.166666666666667 488.68,-6.166666666666667 462.96,-12C437.23999999999995,-17.833333333333332 342.93333333333334,-22.833333333333332 308.64,-23C274.34666666666664,-23.166666666666668 282.91999999999996,-12.666666666666666 257.2,-13C231.48,-13.333333333333334 180.03999999999996,-25.166666666666668 154.32,-25C128.6,-24.833333333333332 120.02666666666664,-12.833333333333334 102.88,-12C85.73333333333333,-11.166666666666666 68.58666666666666,-20.166666666666668 51.44,-20C34.29333333333333,-19.833333333333332 8.573333333333332,-16.166666666666668 0,-11C-8.573333333333332,-5.833333333333333 0,11 0,11C0,14.666666666666666 0,11 0,11",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[T, 4L, FL, MR]_[0,43,131]_[0,45,427] [2021-09-24 222332].wav","T, 4L, FL, MR","M0, 14C6.264,14.833333333333334 25.056,18.833333333333332 37.584,19C50.112,19.166666666666668 56.376000000000005,13.666666666666666 75.168,15C93.96,16.333333333333332 125.28000000000002,27.166666666666668 150.336,27C175.39200000000002,26.833333333333332 194.184,14.166666666666666 225.50400000000002,14C256.824,13.833333333333334 319.464,32.666666666666664 338.25600000000003,26C357.048,19.333333333333332 357.048,-19.333333333333332 338.25600000000003,-26C319.464,-32.666666666666664 256.824,-13.833333333333334 225.50400000000002,-14C194.184,-14.166666666666666 175.39199999999997,-26.833333333333332 150.336,-27C125.28000000000002,-27.166666666666668 93.96,-16.333333333333332 75.168,-15C56.376000000000005,-13.666666666666666 50.112,-19.166666666666668 37.584,-19C25.056,-18.833333333333332 6.264,-19.5 0,-14C-6.264,-8.5 0,14 0,14C0,18.666666666666668 0,14 0,14",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[T, HR, B]_[1,40,642]_[1,41,521] [2021-09-24 222333].wav","T, HR, B","M0, 14C17.133333333333333,17.333333333333332 78.81333333333333,32.666666666666664 102.8,34C126.78666666666665,35.333333333333336 130.21333333333334,23.5 143.92,22C157.62666666666667,20.5 178.1866666666667,32.833333333333336 185.04,25C191.89333333333335,17.166666666666668 191.89333333333332,-17.166666666666668 185.04,-25C178.1866666666667,-32.833333333333336 157.62666666666667,-20.5 143.92,-22C130.21333333333334,-23.5 123.35999999999997,-34 102.8,-34C82.24,-34 37.693333333333335,-25.333333333333332 20.560000000000002,-22C3.4266666666666694,-18.666666666666668 3.426666666666667,-20 0,-14C-3.426666666666667,-8 0,14 0,14C0,18.666666666666668 0,14 0,14",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 1 v2_[T, LR, FL, UL]_[1,31,365]_[1,32,818] [2021-09-24 222333].wav","T, LR, FL, UL","M0, 15C9.146666666666667,15 41.16,13.5 54.879999999999995,15C68.6,16.5 73.17333333333333,24 82.32,24C91.46666666666665,24 100.6133333333333,15.333333333333334 109.75999999999999,15C118.90666666666668,14.666666666666666 128.0533333333333,22 137.2,22C146.34666666666666,22 146.34666666666666,16.333333333333332 164.64,15C182.9333333333333,13.666666666666666 233.23999999999992,18.833333333333332 246.95999999999998,14C260.68,9.166666666666666 260.68,-9.166666666666666 246.95999999999998,-14C233.23999999999992,-18.833333333333332 182.9333333333333,-13.666666666666666 164.64,-15C146.34666666666666,-16.333333333333332 146.34666666666666,-22 137.2,-22C128.0533333333333,-22 118.90666666666668,-14.666666666666666 109.75999999999999,-15C100.6133333333333,-15.333333333333334 91.46666666666665,-24 82.32,-24C73.17333333333333,-24 68.6,-16.5 54.879999999999995,-15C41.16,-13.5 9.146666666666667,-20 0,-15C-9.146666666666667,-10 0,15 0,15C0,20 0,15 0,15",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 2 v2_[3L, T, MR, R]_[0, 32,413]_[0,33,866] [2021-09-25 001402].wav","3L, T, MR, R","M0, 15C4.573333333333333,15.166666666666666 13.719999999999999,11 27.439999999999998,16C41.16,21 64.02666666666666,43.666666666666664 82.32,45C100.61333333333333,46.333333333333336 118.90666666666668,25.5 137.2,24C155.4933333333333,22.5 173.78666666666666,36.666666666666664 192.07999999999998,36C210.37333333333333,35.333333333333336 237.81333333333328,29.333333333333332 246.95999999999998,20C256.1066666666666,10.666666666666666 256.1066666666666,-10.666666666666666 246.95999999999998,-20C237.81333333333328,-29.333333333333332 210.37333333333333,-35.333333333333336 192.07999999999998,-36C173.78666666666666,-36.666666666666664 155.49333333333334,-22.5 137.2,-24C118.90666666666664,-25.5 100.6133333333333,-46.333333333333336 82.32,-45C64.02666666666666,-43.666666666666664 41.16,-21 27.439999999999998,-16C13.719999999999999,-11 4.573333333333333,-20.166666666666668 0,-15C-4.573333333333333,-9.833333333333334 0,15 0,15C0,20 0,15 0,15",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 2 v2_[LT, LR, T]_[0,42,335]_[0,43,725] [2021-09-25 001403].wav","LT, LR, T","M0, 13C8.901333333333332,14 35.605333333333334,14.833333333333334 53.407999999999994,19C71.21066666666665,23.166666666666668 89.01333333333334,38 106.81599999999999,38C124.61866666666664,38 137.97066666666663,23.666666666666668 160.22399999999996,19C182.4773333333333,14.333333333333334 226.98399999999995,14.833333333333334 240.33599999999998,10C253.688,5.166666666666667 253.688,-5.166666666666667 240.33599999999998,-10C226.98399999999995,-14.833333333333334 182.4773333333333,-14.333333333333334 160.22399999999996,-19C137.97066666666663,-23.666666666666668 124.61866666666664,-38 106.81599999999999,-38C89.01333333333334,-38 71.21066666666665,-23.166666666666668 53.407999999999994,-19C35.605333333333334,-14.833333333333334 8.901333333333332,-18.333333333333332 0,-13C-8.901333333333332,-7.666666666666667 0,13 0,13C0,17.333333333333332 0,13 0,13",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
,"/Clips/Bach Mov 2 v2_[R, 4L, T, MR, FD]_[0,8,358]_[0,10,476] [2021-09-25 001401].wav","R, 4L, T, MR, FD","M0, 10C11.802666666666667,12.333333333333334 47.21066666666667,21 70.816,24C94.42133333333334,27 123.92800000000001,28.5 141.632,28C159.33599999999998,27.5 153.4346666666667,21.5 177.04,21C200.6453333333333,20.5 259.65866666666665,26 283.264,25C306.8693333333334,24 312.7706666666666,21.666666666666668 318.67199999999997,15C324.57333333333327,8.333333333333334 324.57333333333327,-8.333333333333334 318.67199999999997,-15C312.7706666666666,-21.666666666666668 324.5733333333333,-23.5 283.264,-25C241.95466666666667,-26.5 118.02666666666669,-26.5 70.816,-24C23.605333333333334,-21.5 11.802666666666667,-15.666666666666666 0,-10C-11.802666666666667,-4.333333333333333 0,10 0,10C0,13.333333333333334 0,10 0,10",Bach Movement 1,1995-12-17T08:24:00.000Z,1995-12-17T08:24:01.000Z,"path => {
      this.svgPath = path;
    }"
